date,open consumer discretionary,close consumer discretionary,low consumer discretionary,high consumer discretionary,volume consumer discretionary,open industrials,close industrials,low industrials,high industrials,volume industrials,open materials,close materials,low materials,high materials,volume materials,open energy,close energy,low energy,high energy,volume energy,open consumerstaples,close consumerstaples,low consumerstaples,high consumerstaples,volume consumerstaples,open realestate,close realestate,low realestate,high realestate,volume realestate,open telecom,close telecom,low telecom,high telecom,volume telecom,open IT,close IT,low IT,high IT,volume IT,open finance,close finance,low finance,high finance,volume finance,open health,close health,low health,high health,volume health,open utilities,close utilities,low utilities,high utilities,volume utilities,VIX Close
2006-02-06,72.77500152587893,72.39999866485606,71.83499813079835,73.34500026702887,20881200,96.8699989318848,95.9200019836426,95.0100021362305,97.5299987792969,25653100,123.48999786376959,124.7599983215331,123.30000114440921,125.6600017547607,10869300,127.59180450439459,128.81705093383792,127.45865249633792,130.0105514526368,35520900,94.55500030517581,94.32000160217291,93.7950000762939,94.939998626709,27516000,110.5888404846191,112.2758903503418,110.2698936462403,113.56421089172369,4558800,80.1695957183838,80.03901672363281,79.6840515136719,80.71846389770509,40341400,65.7485694885254,66.84428691864008,64.67428588867192,67.72856998443599,444238500,113.2250022888183,113.3349971771241,112.8850021362305,113.8500003814697,26436400,81.920000076294,81.290002822876,80.9900016784668,82.1800003051757,38586900,106.3900032043457,107.01000022888189,105.9200019836426,107.2800025939942,3943300,13.04
2006-02-07,72.41499900817878,71.98500061035159,71.62499809265137,72.88000011444088,21343500,95.9100017547607,94.30000305175781,92.5599994659424,96.08000183105469,40505100,122.7900009155274,118.1299991607666,117.8250007629394,123.3750038146973,20163900,127.67947006225592,124.5404472351074,123.80404853820801,127.95320701599121,39030800,94.5,94.265001296997,93.7650012969971,95.3700008392334,38671100,111.5373649597168,111.59115791320801,110.2000980377197,112.3427391052246,14217200,80.7645568847657,81.58002853393549,80.11169624328609,82.2723712921143,71346900,66.76285743713376,67.02714157104496,65.52571296691886,67.65571403503426,378470400,113.2999992370606,113.3150005340576,112.95999908447271,114.1499977111817,30599700,81.0499992370605,81.3299980163575,80.870002746582,82.8000030517579,43082300,106.8800010681152,106.70999908447268,105.8899974822998,107.7200012207031,8455900,13.59
2006-02-08,72.32499980926515,72.63999938964842,71.89499855041507,72.74499797821046,29281000,92.8700008392334,94.730001449585,92.11999893188471,95.950002670288,36586200,118.44999885559079,117.35000038146981,115.9900016784668,119.33500289917001,18347800,124.12989234924311,123.9756259918213,121.83145141601571,124.9806652069091,43290000,94.4099979400635,94.81500053405759,93.38500022888189,95.2549991607666,32278600,112.0794715881348,111.969467163086,111.18325996398929,112.11947250366211,3570800,81.7574253082276,82.96752738952641,81.3303356170654,83.1515674591064,61096000,67.52428340911862,67.04000091552734,65.7485694885254,68.02857303619382,266419100,113.3299980163574,113.9349975585937,112.98500061035159,114.06500053405759,27091200,81.9000015258789,83.40000152587889,81.5900001525878,83.6700000762939,78337500,107.5200004577637,107.6100006103516,106.409999847412,107.75,7349000,12.83
2006-02-09,72.9549989700318,72.85500144958495,72.59000110626218,73.45000076293948,23437700,92.5299987792969,97.76999855041501,91.8199977874755,98.4999999999999,34783300,119.6849975585938,117.94499969482419,117.5549983978272,120.81999778747569,14090800,124.4045085906982,122.2156982421875,121.77486038207999,126.1609840393066,41922700,94.7899990081787,95.2400016784668,94.5200023651124,95.8299999237061,30222700,112.07904624938959,111.9490528106689,111.6707344055175,112.49736976623541,2820400,83.1250591278076,82.85296630859379,82.3432273864746,83.36794281005861,44382200,67.22142696380615,65.59857273101801,65.31857204437253,68.48000049591064,311857000,113.8849983215332,114.21500205993661,113.64499855041511,114.89499855041501,29315100,83.5500011444092,83.2700004577637,83.06999969482419,84.35000038146981,61646500,107.670000076294,108.3900012969971,107.18999862670901,108.80000114440921,6477300,13.12
2006-02-10,73.0249996185303,72.69000148773198,72.15999889373786,73.48500156402588,21519000,97.33999633789061,97.5200004577637,96.20999717712411,99.43999862670901,29192600,116.185001373291,113.92499923706049,112.56499671936041,116.9799995422363,26884100,122.8445167541503,120.9184188842774,119.24886894226071,123.954704284668,51833400,95.0049991607667,95.3500003814698,94.26500129699699,95.7600002288819,22142400,111.7592639923095,111.6090507507324,110.7538948059082,112.2871532440185,3890600,82.7164306640625,83.6311664581299,82.3874912261963,83.8500633239746,42085600,65.67142772674558,66.11571216583255,64.00571250915523,66.73714256286618,461319800,114.0249996185303,114.70499610900879,113.27000045776359,114.96999931335449,24330600,82.18000030517581,82.3900012969971,81.2299995422363,83.0400009155274,72039700,108.2600002288819,108.16000175476071,107.0900020599365,109.1100006103516,6055000,12.87
2006-02-13,72.68000221252443,72.13500022888184,71.72000122070305,72.76500225067143,16828900,100.2599983215332,99.4600009918212,98.06000137329099,101.7799987792969,25638800,113.6350021362305,112.4050006866455,111.3199977874756,114.9849987030029,19939300,121.59819412231451,121.6339569091797,120.2818107604981,123.535322189331,36081700,95.1600017547607,94.7599983215332,94.48500251770021,95.61000061035149,19984100,111.25905227661129,111.15262985229491,110.60410499572748,111.64904975891119,3270200,83.5713024139404,83.319055557251,82.92529296875,84.0500621795654,37515700,65.7485733032226,64.3942852020264,63.92428779602046,65.7957162857056,238846000,114.24500083923351,114.29500198364272,113.51000022888178,115.14500045776371,21522500,82.01999855041501,82.80000114440921,81.5000019073486,83.2599983215332,40225100,107.98999977111819,107.45000076293951,107.2000007629394,108.27000236511229,3402700,13.35
2006-02-14,72.06499767303463,72.77499866485596,71.83000087738036,72.93000030517571,19304900,98.72000122070311,102.0399971008301,98.4700012207031,102.6900024414062,33563800,112.8999996185303,114.73999977111819,111.9550018310546,115.4900016784668,15569900,120.0476913452149,121.2119541168213,119.55596733093259,122.3057098388671,41676800,94.76499938964838,96.26000022888181,94.54999732971189,96.6099987030029,30157700,111.26305007934572,112.5551567077637,110.46746826171871,113.17094230651861,3432100,83.4500064849854,84.8159694671631,83.3719787597656,85.552812576294,53480100,64.78999996185296,66.51285743713376,63.69571399688721,66.80857372283937,317114200,114.5299987792969,115.58499908447271,114.27000045776359,116.4050025939942,38216900,82.78999900817868,83.0799980163574,82.40999984741211,83.3000011444091,46351600,107.629997253418,107.42000198364249,106.06000137329099,108.0000019073486,6493100,12.25
2006-02-15,72.75500202178956,74.12999916076652,72.64499950408937,74.34500026702885,20616100,101.29000091552732,103.73999786376959,100.8099975585938,104.36000061035159,22900100,114.38999938964838,113.65500068664551,112.30000114440911,116.3099994659424,18615100,121.8619441986084,121.11662292480472,119.8261966705322,122.728874206543,45389100,96.0750007629394,96.9799995422362,95.4750003814697,97.19999885559079,26613200,111.7949466705322,112.211368560791,111.29705047607419,112.5496864318848,3518000,84.7359027862549,85.5407466888428,84.3817253112793,85.8381843566895,48130200,66.14428520202632,66.90857410430908,65.3857145309448,67.20571613311762,311230100,115.3650016784668,116.4250011444092,115.2150020599365,116.84499931335449,35649000,82.8500003814697,84.0000019073486,82.6000003814697,84.2299995422363,50830700,107.25999832153319,106.90000152587899,106.01000022888181,108.1000003814697,4877700,12.31
2006-02-16,74.09500026702885,74.84000110626225,73.579999923706,75.0,26356500,103.13999938964838,102.43000030517581,101.71000289917001,103.6900024414062,26177900,113.47999572753898,116.43999862670901,113.125,116.8049983978272,15067600,121.57775115966791,123.45285224914551,121.18476486206049,123.6201496124267,42094100,96.85999870300289,96.6650009155273,95.9899978637696,97.2800006866456,25051900,112.5011577606201,113.0144214630127,112.14115715026851,113.2744216918946,4193200,85.91134262084961,86.1981315612794,85.31688499450681,86.49240493774411,38784400,67.42714309692381,68.81142997741699,66.97571372985836,69.0342855453491,260228200,116.51499938964841,117.48499870300292,116.0249996185303,117.5499992370605,31628300,83.5500011444092,84.77999877929688,83.1000003814697,85.040002822876,41907200,106.55000114440921,108.1199970245361,106.1500015258789,108.26999855041501,6739200,11.48
2006-02-17,74.62499904632568,74.22499942779534,73.98500061035165,74.97499942779537,17476100,102.2599983215332,103.69000244140629,100.6900024414062,104.0,27930000,117.6650009155273,117.3249988555908,116.3849983215333,119.6299991607666,14382700,124.64359855651858,124.89644622802729,123.9905643463135,125.3079833984375,38834100,96.6300010681152,96.5449981689453,95.59499931335449,97.5300025939942,31554600,112.955265045166,113.0490493774414,112.300106048584,113.3752651214599,3727400,86.2481307983399,86.096908569336,85.6022415161132,86.6610279083252,39484700,67.1928567886353,67.02143001556401,66.26428508758542,68.3371438980103,173597200,117.41999816894531,117.2449989318848,116.6100025177002,118.1599998474121,30286500,84.64999961853019,84.94999885559079,83.72000122070321,85.01000022888181,42858000,108.56999969482419,109.5699996948243,108.25,109.9399986267089,5566800,12.01
